yr,fdivinc,fdivkg,fintinc,fintinctax,fintexm ,fschcincp,fscorpinc,fscorpinc2,fpartpinc,fpartpinc2,frentincp,fmortded,fresttax,fpenira,fpen,fothdebt,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrestw,ttpeniraw,ttpenw,ttothdebt,ttcurrency,fintbottom99,fintop1,fpenlabor,festdivkg,festdiv,festint,festhous,festbus,ttmuni,fnonmort,qequity,qbond,qhousing,qbusiness,qpension,gdpinf,qeqmarket,yieldeq,yieldfix,yieldhous,yieldbus,yieldpen,blowwag,blowlbus,ttestpos,ttkinc,ttkinc2,ttkg,ttdivinc,ttnakinc,ttnalinc,ttintinc,ttestinc,ttrentincp
2000,54.2127,10.3465,,24.041,16.6557,7.6344,5.5513,6.001,7.334,7.559,37.1589,11.5419,92.5911,24.1951,18.1569,,0.9621,37679648,8426973,5850657,4952053,898604,2917564,1013530,1817199,-4622219,11419629,2394504,10022769,-2018051,457095,26.42848479,16.58374793,2.411146098,48.93914222,41.64705838,14.5521466,12.84407271,2.638852128,898604,,0.027391,-0.017658,0.136996,0.024826,0.006498,0.022767,0.040444626,0.04452025,0.08728584,0.03148467,0.04534688,0.06387846,1.4191536,1.84659287,12334,971101,945580,615426,146988,1991450,7051562,199322,11006,45099
2001,55.8956,14.1831,,24.7721,17.5606,7.7052,5.0541,5.493,7.339,7.624,38.3276,11.6198,95.446,25.1863,18.4224,,0.9502,37545197,7176770,6052486,5076426,976060,3095783,956560,1976233,-5067425,12880955,2375761,9817733,-2162357,442699,26.22444329,19.92031873,2.322098833,83.86010532,48.47282054,16.35430947,15.95377809,3.207262086,976060,,-0.11899,-0.022406,0.116411,0.003559,-0.076121,0.022871,-0.120437498,0.05023189,0.08251286,0.02890784,0.04624741,0.06539304,1.4267693,1.91437255,12668,971537,940621,326048,119533,1989609,7312921,198178,10220,47308
2002,52.3943,15.255,,33.4413,20.5631,7.8565,4.459,4.85,7.4747,7.783,40.6239,12.9112,96.0049,26.0247,16.7153,,0.9311,36826012,5819442,6334203,5212189,1122014,3176852,884093,2156987,-5674552,14210391,2295887,9377815,-2227172,472067,37.74836087,21.69197397,2.205289836,54.19010864,36.49189552,20.33830736,13.84422664,2.677424995,1122014,,-0.18741,-0.00872,0.137613,-0.011878,-0.104945,0.015376,-0.163194006,0.06991319,0.07076203,0.02880659,0.0628988,0.07034704,1.4568052,1.84464421,12701,924355,891564,238307,103241,2121746,7419520,149025,11240,49266
2003,47.0833,13.0943,,42.3253,23.2492,7.8607,4.2626,4.759,7.4605,7.799,46.3775,15.1771,99.5762,27.6123,17.5472,,0.9195,38956673,5729389,6835372,5585722,1249650,3350018,911083,2438778,-6468437,15660593,2439145,9921556,-2321831,461009,49.71143194,24.93765586,2.284768515,29.55554413,24.821992,16.40367442,12.51062189,2.120483899,1249650,,-0.052555,-0.002562,0.154468,0.010351,-0.027518,0.019975,0.001321643,0.07693145,0.06456087,0.02918793,0.07533686,0.07057709,1.4808795,1.73131521,13549,952770,910958,294384,115141,2296267,7657561,127160,12415,49236
2004,43.6434,10.3044,,51.414,24.9849,8.007,4.2539,4.694,7.6575,7.946,52.3845,16.5812,100.4521,27.5666,17.8735,,0.9184,44815392,6742264,7978595,6678585,1300010,3844926,1112446,2847033,-7384039,17713358,2802757,11218588,-2489400,428864,65.88428983,23.41920375,2.434697122,27.67122171,23.8361767,16.24585509,13.8737826,2.120605216,1300010,,0.089967,0.019346,0.211681,0.057551,0.054841,0.027388,0.168353533,0.07747914,0.05451374,0.0281993,0.08159772,0.06644068,1.4816431,1.57489164,15519,1084639,1041918,469874,146839,2548080,8077298,125474,14001,50641
2005,41.5262,8.249,,46.8369,23.335,8.0597,4.0725,4.396,7.7013,7.995,58.768,16.5103,106.1763,26.697,17.738,,0.9211,50663328,7347609,9173170,7826882,1346289,4456019,1300761,3407301,-8385428,20485279,2997461,12156017,-2617672,342811,61.66533583,23.31002331,2.493347732,28.99535128,26.34345458,13.28810072,15.83662511,2.17189342,1346289,,0.023846,0.006276,0.226903,0.070089,0.015499,0.032077,0.076526879,0.07814519,0.05953015,0.02507472,0.07804571,0.06938131,1.4870692,1.37005555,17731,1276577,1231764,666307,166482,2874465,8453089,162433,16484,53537
2006,40.3104,8.1896,,37.2034,19.2269,8.7415,4.425,4.736,8.3345,8.661,61.7777,15.9831,106.9686,27.4445,16.8018,,0.9328,55501435,8518257,9913675,8510668,1403007,5000609,1512611,3640981,-9410667,22304283,3422487,13119378,-2782905,262726,47.87275823,20.83333333,2.554252369,33.7323021,28.05134227,13.10489118,19.15873069,2.710946558,1403007,,0.120093,-0.011357,0.056029,0.04513,0.054257,0.030732,0.113347803,0.0758483,0.06236181,0.02245301,0.08135943,0.06951401,1.4845822,1.36826418,19256,1412314,1367252,769999,199359,3149886,8933386,222707,17183,53608
2007,37.2777,7.6264,,34.2339,18.1964,9.3637,5.0519,5.446,8.9335,9.289,52.4087,15.7612,97.2587,27.4467,16.428,,0.954,57483352,9358153,10862683,9418775,1443908,5678297,1738834,3217798,-10259879,21641362,4060999,13988938,-3000229,196396,42.5914406,21.59827214,2.613156109,40.98335978,28.79542714,13.37079189,14.147245,2.527644543,1443908,,0.107699,-0.01184,-0.09588,0.050534,0.047927,0.026599,0.098000076,0.06561235,0.06386631,0.02199653,0.05877396,0.06478909,1.4641607,1.2666513,19045,1537016,1487808,892720,237052,3067097,9352941,268058,18107,56510
2008,32.3193,9.4371,,43.8135,18.7631,9.4973,4.6209,5.053,8.9786,9.424,36.7787,17.0313,85.1183,23.5121,15.3696,,0.9343,51399836,7549782,11612360,10114657,1497704,5816315,1587184,2385350,-10593872,19055677,3812500,12983864,-3033369,224045,52.62099899,27.32240437,2.383762669,60.74266035,25.40884843,18.26446905,9.695878993,2.503747655,1497704,,-0.115744,-0.022092,-0.289137,-0.009007,-0.068712,0.019211,-0.177022323,0.0709582,0.06068746,0.02910667,0.05343265,0.065542,1.4697648,1.34542022,21505,1480971,1421022,463856,219331,2909950,9611157,223291,18150,60072
2009,35.8649,13.515,,59.3337,21.0286,9.158,4.5192,4.942,8.6477,9.072,25.4245,18.9974,76.7428,27.3441,15.0168,,0.915,46670309,6357835,11916270,10369108,1547162,5199767,1422644,1643950,-10497305,17167795,3697000,12354975,-2938094,345473,72.92182711,30.67484663,2.36068542,55.13000852,28.50005197,23.06767878,7.864806421,2.832914863,1547162,,-0.175583,-0.006854,-0.219211,-0.100297,-0.087016,0.007983,-0.143949543,0.09059536,0.05004982,0.04592953,0.06929148,0.06744411,1.4775239,1.23174203,,1303319,1248293,236064,163459,2996311,9166366,168001,17382,59283
2010,38.6892,12.8139,,73.553,20.9318,8.6166,4.5612,4.987,8.1643,8.558,22.0396,19.6035,72.4076,22.3457,15.5775,,0.915,49742938,7493371,12206698,10633396,1573301,5076968,1557093,1478916,-10162273,16624892,4342500,13726788,-3011850,409837,100.4398845,31.05590062,2.561981013,24.36180891,19.92601348,18.51344686,4.546071003,1.777334376,1573301,,0.0683,-0.003168,0.017048,-0.046435,0.028589,0.01215,0.193254438,0.09383297,0.04737341,0.05699421,0.09163674,0.06881459,1.4757979,1.13818347,,1346461,1288700,363808,183539,3465527,9317909,139611,19692,63041
2011,37.9033,12.8387,,86.7033,21.2424,8.9008,4.6255,5.058,8.4177,8.814,23.1353,20.4245,69.9922,21.0635,15.8372,,0.9179,51936260,7885262,12449462,10898867,1550594,5469557,1668810,1661717,-9792652,16140239,4577500,14423421,-3134855,587800,119.2138702,35.97122302,2.594535968,29.01441094,25.95564512,24.72546933,7.15014381,2.750863333,1550594,,0.05515,-0.020232,-0.087151,0.046345,0.01306,0.019641,0.052321323,0.09709473,0.04620393,0.0641156,0.09193956,0.06961362,1.4764877,1.22595798,,1382595,1322552,375260,194610,3724293,9729870,120112,19607,65766
2012,30.2197,8.9539,,96.5549,20.8784,8.611,4.3425,4.748,8.0861,8.508,24.4688,21.597,72.1194,20.912,15.952,,0.901,55162978,8346199,12851021,11368657,1482364,5734496,1766361,1968167,-9556656,16664388,4826500,15027619,-3289987,824871,126.102706,55.55555556,2.593501976,18.16574247,19.40776034,22.00449269,7.802524893,2.745831593,1482364,,0.024973,-0.014531,0.056505,0.04146,0.003226,0.01749,0.051479212,0.09540068,0.04441161,0.06497864,0.0946989,0.06782858,1.4738584,1.17034265,,1553323,1483373,621000,260000,3905467,10107356,112000,25200,72400
2013,,,,,,,,,,,,,,,,,,62650769,10314839,13338013,11939362,1398652,6015362,2182997,2384230,-9403427,18394398,5347650,16675815,-3550351,951244,,,,,,,,,,,0.145163,-0.002727,0.219714,0.031715,0.064315,0.013894,0.202456977,,,,,,,,,,,,,,,,,
