yr,fdivinc,fdivkg,fintinc,fintinctax,fintexm ,fschcincp,fscorpinc,fscorpinc2,fpartpinc,fpartpinc2,frentincp,fmortded,fresttax,fpenira,fpen,fothdebt,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrestw,ttpeniraw,ttpenw,ttothdebt,ttcurrency,fintbottom99,fintop1,fpenlabor,festdivkg,festdiv,festint,festhous,festbus,ttmuni,fnonmort,qequity,qbond,qhousing,qbusiness,qpension,gdpinf,qeqmarket,yieldeq,yieldfix,yieldhous,yieldbus,yieldpen,blowwag,blowlbus,ttestpos,ttkinc,ttkinc2,ttkg,ttdivinc,ttnakinc,ttnalinc,ttintinc,ttestinc,ttrentincp
1970,33.8425,15.8815,28.8334,27.0382,,8.2609,4.7547,4.755,8.2059,8.206,38.1452,17.1518,53.4743,,40.0627,12.531,0.9294,2826894,631378,654953,614175,40779,438504,12279,199912,-282236,853455,0,370375,-166466,114740,29.36764448,13.60544218,0.673587009,35.11755544,38.55783333,12.96003914,9.373618264,2.030001289,40779,12.53104,-0.210018,-0.047152,0.063827,-0.004456,-0.091681,0.052692,-0.14087795,0.08975737,0.07869047,0.03546819,0.06561078,0.08132203,1.2904109,1.25224456,1480,100180,100180,19547,17007,191482,752820,22021,1448,4885
1971,36.1151,13.446,27.7103,26.1388,,8.5936,4.7547,4.755,8.5313,8.531,37.7745,16.1993,54.9752,,43.8454,9.8011,0.9111,3049609,668636,709217,668998,40220,470189,13644,217005,-297651,915852,0,407500,-180088,125305,27.82458283,16.23376623,0.694441817,39.06534882,40.95505548,14.28660174,9.563021159,2.175565183,40220,9.8010639,-0.035256,-0.047352,0.031153,0.011699,-0.044135,0.050843,0.017971436,0.09828275,0.080357,0.03503651,0.06740825,0.08516871,1.2988298,1.29621801,1731,105262,105262,28417,16723,215308,804717,24731,1579,5345
1972,39.4296,13.3295,27.3227,25.8994,,8.4881,4.7547,4.755,8.4293,8.429,36.5573,15.9239,58.3007,,41.9492,15.0059,0.9271,3448827,796973,776330,735888,40442,522207,15692,238702,-326447,1027930,0,461903,-202688,138225,27.51122158,16.10305958,0.717271306,38.22094024,40.21183172,14.39695856,8.613309179,1.999897942,40442,15.0058894,0.168009,-0.042473,0.015464,0.04434,0.013628,0.043424,0.142011236,0.09691942,0.08006924,0.03233621,0.06733682,0.08524441,1.2916528,1.31686144,1838,117544,117544,36210,18353,240702,885198,27400,1823,6100
1973,34.9975,12.7821,25.7302,24.3959,,8.3874,4.7547,5.12,8.1793,8.337,36.2905,15.1506,64.0965,,37.8658,14.2296,0.9444,3745142,766834,856079,811683,44395,591184,18231,278311,-362822,1175017,0,501494,-227639,148455,26.02466039,14.59854015,0.7073254,27.22839644,31.17990244,13.25955944,7.728853637,1.786274648,44395,14.2296053,-0.009669,-0.047616,-0.013909,0.062623,-0.036606,0.054357,-0.07822932,0.11011165,0.08492234,0.02910787,0.0676646,0.09243509,1.2977687,1.37420758,2038,136188,134551,35580,20112,270521,990534,32174,2019,7239
1974,22.0808,9.7619,23.29,22.046,,8.7539,4.7547,4.755,8.7043,8.704,38.8869,14.4235,62.1104,,27.961,13.4325,0.9554,3777425,535454,948612,897946,50666,666575,19875,327374,-400716,1256276,0,517813,-248790,154953,23.58504182,13.22751323,0.660937555,14.86979149,16.60713393,11.22621709,7.233191813,1.628278628,50666,13.4325364,-0.378398,-0.06958,0.022233,0.041226,-0.171119,0.089549,-0.334934502,0.13320106,0.09275838,0.02755887,0.05540207,0.10273055,1.2852441,1.36321929,2577,150875,150875,28803,22496,275983,1078827,39543,2332,7985
1975,19.5082,8.6814,23.4049,22.1633,,9.9281,4.7547,4.987,9.6359,9.865,41.0166,14.6077,64.9246,,25.36,14.5017,0.9226,4026453,485292,1050374,994652,55722,736562,19069,363084,-439153,1337400,0,580760,-264974,158040,23.61075362,12.51564456,0.696955186,11.92652683,13.84418211,12.53383187,7.6772302,1.858282748,55722,14.5016625,-0.273642,-0.076578,0.049041,0.01866,-0.132644,0.092897,-0.150144851,0.16565694,0.0942194,0.02461415,0.05647446,0.11123982,1.306956,1.40881777,2839,155768,153809,29328,23064,309688,1146568,43434,2554,8374
1976,22.3085,9.0624,23.0443,21.8421,,10.0244,4.7547,4.755,9.9569,9.957,40.9997,14.0324,65.81,,24.9925,14.7976,0.9299,4579534,621998,1161130,1100554,60576,818167,19258,395686,-488021,1501818,0,673984,-288429,163944,23.03591736,13.14060447,0.730708484,13.40449637,15.39448125,13.68568605,7.893408445,1.929925424,60576,14.7975765,0.128429,-0.050123,0.038439,0.050542,-0.008821,0.054907,0.188001771,0.16060022,0.09462632,0.02401557,0.05985051,0.11200035,1.3036051,1.4227291,3087,170097,170097,38488,25900,359383,1264595,48588,2871,9098
1977,20.9645,8.3671,22.6907,21.515,,10.5328,4.7547,5.029,10.4594,10.459,44.7578,14.467,73.8245,,22.9861,15.3526,0.9308,5085845,640750,1286721,1220049,66672,915886,21106,444794,-559983,1738392,0,745005,-323532,176708,22.55370518,13.47708895,0.732156283,13.97170744,15.779791,16.37634456,9.876050489,2.324106761,66672,15.352591,-0.143348,-0.051361,0.107102,0.043365,-0.076748,0.06188,-0.031401169,0.17973094,0.09819222,0.02154827,0.05995296,0.11907216,1.3134756,1.44455754,2983,184333,184091,43481,28483,409482,1398901,54603,2764,9328
1978,17.5707,6.9982,22.43,21.1574,,10.6563,4.7547,4.755,10.5812,10.581,43.6042,13.3579,78.971,,23.443,13.7403,0.9428,5660781,596516,1429841,1348718,81123,1049039,23893,509367,-655773,2048842,0,834217,-367598,192437,22.31456023,11.89060642,0.731654758,11.33459214,13.00098975,17.3377463,9.884291602,2.415583171,81123,13.7403055,-0.224027,-0.056324,0.131354,0.057917,-0.103983,0.070201,-0.104096204,0.21466758,0.0988457,0.02086821,0.05978674,0.12735053,1.312323,1.46585044,3312,207866,207866,48579,31671,465858,1575119,61223,3080,10983
1979,17.9455,5.7395,20.5231,19.2082,,11.8001,4.7547,4.981,11.3201,11.706,45.5197,12.6632,94.8467,,23.2112,12.8036,0.9511,6477186,675523,1580530,1479263,101268,1222362,26198,586485,-767634,2407074,0,951101,-415013,210561,20.47831653,10.60445387,0.741092526,12.68746345,12.43827858,15.94164885,10.05481894,2.606510664,101268,12.8036097,-0.125418,-0.071504,0.124949,0.070716,-0.085643,0.082526,0.032478152,0.19728562,0.10247948,0.01812023,0.04849711,0.12626083,1.3007676,1.54079901,4110,234375,230568,74318,35023,499161,1764061,73875,3780,12049
