yr,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrentmortw,ttrestw,ttpeniraw,ttpenw,fraceqpen,ttothdebt,ttcurrency,ttundtr_kg,ttundtr_div,ttundtr_int,ttundtr_bus,ttundtr_rent,ttfainc,ttfkcot,ttfkmik,ttfkprk,ttproptax_res,ttproptax_bus,ttfkinc,ttfkhou,ttfkhoumain,ttfkhourent,ttfkequ,ttfkfix,ttfkbus,ttfkpen,ttfkmor,ttfknmo,ttflinc,ttflemp,ttfllbu,ttflprl,ttsalestax,ttflwag,ttflsup,ttoacont,ttdicont,tthicont,ttuicont,ttsecont_oa,ttsecont_di,ttsecont_hi,ttptinc,ttplcon,ttinvincpen,ttpenben,ttuidiben,ttssben,ttuiben,ttssiben,ttsnapben,ttworkcompben,ttvetben,ttnonvetben,tttanfben,ttothben,ttmedicare,ttmedicaid,ttmedicaidenroll,ttothinkind,ttkindben,ttcolexp,tteducexp,ttnpishinc,ttgovint,tttax,ttben,ttprimsupgov,ttprisupss,ttprisupenprivate,payrolltaxer,pensioncont,healthcont,othbenefits,ttfedtax,ttstatetax,ttcred,ttestatetax,fracestp0p90,fracestp90p95,fracestp95p99,fracestp99p995,fracestp995p999,fracestp999p9999,fracesttop001,ttothcon,ttdiinc,ttdikin,ttninc,private_saving,piksaezden,piksaezwag,piksaezbus,piksaezint,piksaezdiv,piksaezren,piksaezdenKG,hwequ0,bond0,currency0,nonmort0,rental0,ownerhome0,ownermort0,hwbus0,hwpen0,flemp0,flmil0,fkhoumain0,fkhourent0,fkequ0,fkfix0,fkbus0,fkpen0,fkmor0,fknmo0,gdpdeflator,nideflator,cpipiksaez,pcedeflator,totadults20,adults65p,population,tottaxunits,minwage,paycap,ssrate,oarate,dirate,hirate,stdyr_s,stdyr_h,stdyr_m,snapded3,snapded4,snapded5,snapded6,snapdedkid,povcut1,povcut2,povcut3,povcut4,povcut5,povcut6,povcut7,povcut8,povcutadd,snapben1,snapben2,snapben3,snapben4,snapben5,snapben6,snapben7,snapben8,snapbenadd,snapbenmin,snapassn,snapasse,ssiress,ssiresc,ssicuts,ssicutc,snapparticip
2011,0.9179,51469463.07,7781538.81,11923325.27,10317552.94,1605772.33,5592657.50,1668810.00,1555542.50,-9885708.50,-2833883.50,16150203.50,4640500.00,14722639.00,0.45,-3309106.00,629061.00,30883.77,13426.64,5591.41,6059.71,6059.71,13786706.80,281078.00,396358.80,182551.68,172303.00,206931.00,4173407.28,1086590.30,824664.99,261925.30,1182824.68,553750.28,466994.13,1487051.46,-401335.69,-202467.88,9613299.52,8225931.00,924837.20,462531.32,645083.00,6055732.06,2170198.94,456219.73,77445.27,186731.00,57328.00,27500.99,4668.41,14262.60,12826238.03,1474352.60,1152550.51,1424811.35,241623.00,743983.00,107163.00,50484.00,72728.00,18964.00,63267.00,356850.00,20795.00,42459.00,535609.00,406022.00,56.50,114395.00,1056026.00,2511754.00,729200.00,47689.20,476655.00,3689950.00,3987897.00,-1148990.00,-227983.60,35901.86,492742.00,851190.20,584284.00,241982.74,1130254.00,322929.00,151420.00,14721.00,0.00000,0.00000,0.02707,0.04476,0.24774,0.37365,0.30677,293488.60,13747347.44,11235593.44,13357741.00,0.099314,7969228.00,6828458.43,760723.79,120111.68,194609.82,65324.27,8344488.00,0.183611,0.231658,0.012222,-0.064293,0.030223,0.313782,-0.192069,0.108660,0.376206,0.626815,0.070472,0.059816,0.018998,0.085795,0.037599,0.033873,0.110427,-0.029110,-0.014686,1.123191577,1.128771875,1.067302453,1.103632216,227828,41367,312098.00,158367.00,7.25,106800,0.124,0.1060,0.0180,0.029,5800,8500,11600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.9020,54437311.32,7894360.80,12081390.02,10577838.97,1503551.06,6012453.50,1836997.50,1754216.50,-9672308.50,-2862323.00,16742954.00,4995000.00,15418400.50,0.44,-3455396.00,829243.00,33560.72,15477.27,6445.38,6985.20,6985.20,14519092.20,334867.00,434164.20,194863.98,174660.00,211601.00,4457780.38,1118244.31,842819.55,275424.75,1241643.92,570110.86,509403.52,1593341.77,-371236.75,-203727.24,10061311.82,8566725.00,1013049.80,481537.02,676401.00,6301000.00,2265725.00,474193.21,80568.79,195013.00,60094.00,27699.52,4706.34,14441.14,13500480.15,1527998.04,1237917.00,1521266.98,226036.00,794102.00,83615.00,53038.00,74851.00,18481.00,70113.00,305820.00,19832.00,40935.00,554746.00,417539.00,57.50,114695.00,1086980.00,2515979.00,735600.00,54950.80,479390.00,3876237.00,3978892.00,-980278.00,-230455.14,11150.19,513293.00,880736.18,597239.00,274456.82,1165815.00,343129.00,98683.00,19238.00,0.00000,0.00000,0.01805,0.02984,0.23239,0.39546,0.32426,303264.14,14250397.01,11734418.01,14094653.00,0.127924,8499523.57,7136828.70,918832.74,111977.91,259948.73,71935.49,9120193.86,0.178763,0.221932,0.015233,-0.063475,0.032225,0.307564,-0.177678,0.110447,0.374989,0.619690,0.073281,0.058049,0.018970,0.085518,0.037013,0.035085,0.111995,-0.025569,-0.014032,1.10198572,1.10658022,1.045662981,1.08300533,229951,43165,314374.00,160681.00,7.25,110100,0.124,0.1060,0.0180,0.029,5950,8700,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,0.9040,61682403.65,9406996.27,12434144.88,10999668.37,1434476.51,6618339.50,2306980.00,2065103.50,-9524762.00,-2948119.50,18314467.50,5783000.00,16979674.00,0.47,-3678704.50,977164.50,33534.90,11562.59,4815.14,5218.43,5218.43,14798200.90,362784.00,452151.90,198586.47,179981.00,217089.00,4391597.27,1131850.97,855730.06,276120.91,1210431.28,535789.09,527628.67,1525517.09,-337145.36,-202474.46,10406603.63,8834222.00,1055021.10,517360.53,715947.00,6475380.88,2358841.12,586577.66,99589.34,206005.00,58187.00,35038.24,5948.80,12925.96,13682867.01,1694141.64,1194944.15,1565474.89,208277.00,831327.00,62499.00,54851.00,74657.00,18754.00,79058.00,306185.00,19728.00,40569.00,572843.00,439983.00,58.50,112973.00,1125799.00,2532006.00,746700.00,56880.10,360401.00,4282097.00,4043048.00,-654682.00,-108484.96,28874.71,526309.00,908800.60,623550.00,300181.52,1302312.00,373521.00,97626.00,26178.00,0.00000,0.00000,0.00902,0.01492,0.21705,0.41727,0.34174,318943.96,14229159.05,11697153.05,14494680.00,0.110435,8634408.83,7328435.33,920675.39,100656.20,214988.67,69653.24,9117821.83,0.189908,0.201583,0.015842,-0.059639,0.033480,0.296916,-0.154416,0.107297,0.369030,0.628211,0.075024,0.057827,0.018659,0.081796,0.033769,0.035655,0.105525,-0.022783,-0.013682,1.082787891,1.086160404,1.030567643,1.068621682,232043,44723,316598.00,162998.00,7.25,113700,0.124,0.1060,0.0180,0.029,6100,8950,12200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,0.9005,68419073.87,10927878.57,12750418.30,11385388.01,1365030.29,7292947.00,2807187.50,2343534.00,-9473793.00,-3079189.50,19767882.00,6497500.00,18321792.50,0.50,-3927212.50,1110939.50,36035.49,12424.78,5174.19,5607.55,5607.55,15625712.30,407370.00,468318.90,214861.67,188370.00,228364.00,4744705.87,1186023.65,874087.45,311936.20,1343251.13,565786.41,545379.29,1649215.41,-331182.89,-213767.13,10881006.43,9248076.00,1092744.10,540186.33,755048.00,6784947.85,2463128.15,613689.98,104211.02,216635.00,55706.00,37891.05,6434.30,14057.65,14407922.78,1762535.09,1298992.61,1660375.18,183363.00,869604.00,35450.00,55794.00,69405.00,18916.00,83710.00,320933.00,20133.00,41689.00,598612.00,490912.00,59.50,117606.00,1207130.00,2565199.00,762200.00,63890.70,444136.00,4542173.00,4176972.00,-539758.00,-87121.65,5918.56,546706.00,944602.74,642994.00,328825.41,1403127.00,382317.00,114996.00,23772.00,0.00000,0.00000,0.00000,0.00000,0.20170,0.43907,0.35923,335872.65,14860654.13,12295455.13,15245467.00,0.119777,9131895.93,7694171.28,1014286.93,93894.00,254702.23,74841.49,9819283.93,0.200749,0.186358,0.016237,-0.057399,0.034253,0.288924,-0.138467,0.106592,0.362754,0.622767,0.073586,0.055939,0.019963,0.085964,0.033947,0.034903,0.107807,-0.021195,-0.013680,1.062800274,1.066860986,1.014116765,1.052810719,234239,46243,318953.00,165033.00,7.25,117000,0.124,0.1060,0.0180,0.029,6200,9100,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0.8995,71837730.97,11250170.83,13219780.13,11911014.39,1308765.75,7916542.00,2911252.50,2551545.50,-9524053.00,-3261127.00,20937702.50,6810500.00,18683457.50,0.49,-4097983.00,1178816.00,37655.53,12983.36,5406.81,5859.64,5859.64,16166053.10,397204.00,451013.70,218483.07,193453.00,237046.00,4859017.87,1269788.60,905419.86,364368.74,1343930.32,610408.38,531033.54,1668545.14,-333799.77,-230888.33,11307035.23,9696832.00,1052365.30,557837.93,776321.00,7112222.96,2584609.04,644318.87,109412.13,228238.00,52066.00,39390.61,6688.94,14679.45,14921341.34,1859756.29,1313666.54,1747154.07,181557.00,908403.00,32150.00,56661.00,68719.00,19044.00,89822.00,333905.00,20953.00,42787.00,633969.00,535958.00,60.50,118735.00,1288662.00,2612706.00,776315.80,69190.90,452244.00,4769910.00,4325095.00,-495647.00,-88676.45,19721.67,569667.00,1007879.75,671990.00,335072.29,1528256.00,406941.00,125741.00,25394.00,0.00000,0.00000,0.00000,0.00000,0.20170,0.43907,0.35923,353418.45,15328402.89,12715696.89,15783000.00,0.113125,9570071.89,8069596.16,1066135.64,95881.23,260252.73,78206.13,10265023.66,0.197131,0.184023,0.016409,-0.057045,0.035518,0.291458,-0.132577,0.110200,0.354883,0.630955,0.068476,0.056007,0.022539,0.083133,0.035420,0.032849,0.105552,-0.020648,-0.014282,1.05194471,1.055766193,1.012914459,1.050176803,236453,46244,321323.00,167314.00,7.25,118500,0.124,0.1060,0.0180,0.029,6300,9250,12600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,0.8890,75573129.23,11594093.30,13901588.42,12608037.04,1293551.38,8504907.00,3012230.00,2788343.00,-9684751.50,-3462210.00,22275454.50,7185000.00,19069415.00,0.49,-4246898.00,1173747.50,37621.04,12971.46,5401.86,5854.28,5854.28,16502878.80,392856.00,442243.80,222109.25,200031.00,246547.00,4943857.85,1332240.04,941365.53,390874.51,1366411.81,619464.71,525887.82,1675662.13,-339880.50,-235928.16,11559020.95,9956248.00,1031902.20,570870.75,792980.00,7191879.80,2764368.20,663535.66,112675.34,234560.00,47768.00,40154.05,6818.58,14929.37,15215918.13,1926868.55,1319867.54,1778926.43,180849.00,931872.00,31679.00,56449.00,65443.00,18928.00,92793.00,334987.00,20323.00,43249.00,662150.00,562742.00,61.50,122204.00,1347096.00,2659488.00,790216.18,68532.20,512489.00,4851855.00,4434364.00,-545973.00,-92599.37,59692.49,581353.00,1055916.92,684812.00,442286.28,1545676.00,408602.00,130595.00,25298.00,0.00000,0.00000,0.00000,0.00000,0.20170,0.43907,0.35923,368913.37,15669378.77,13009890.77,16058922.00,0.046151,9629515.28,8145320.48,1057865.57,93915.15,254394.79,78019.29,10269236.79,0.193274,0.183949,0.015531,-0.056196,0.036896,0.294754,-0.128151,0.112539,0.347404,0.634647,0.065777,0.057043,0.023685,0.082798,0.035096,0.031866,0.103978,-0.020595,-0.014296,1.040600686,1.042173875,1.000295601,1.03900353,238657,46675,323668.00,169645.00,7.25,118500,0.124,0.1060,0.0180,0.029,6300,9300,12600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.8959,82029889.19,13333712.72,14325712.97,13068173.22,1257539.75,9098371.50,3300277.50,3033265.00,-9931135.50,-3674415.50,23742059.50,8011000.00,20447848.50,0.51,-4487184.00,1155961.00,40260.81,13881.64,5780.89,6265.06,6265.06,17229571.29,350700.00,479637.00,224600.34,212027.00,258902.00,5117815.63,1380160.87,983751.33,396409.54,1393451.24,661683.15,564817.00,1718928.83,-343271.91,-257953.55,12111755.66,10407199.00,1119153.00,585403.66,810004.00,7564673.09,2842525.91,697388.15,118423.85,245776.00,46824.00,40813.19,6930.51,15148.30,15862896.47,2028599.24,1364963.84,1848316.25,178572.00,961794.00,29070.00,56413.00,63976.00,19236.00,98538.00,341508.00,20482.00,44647.00,695265.00,577426.00,62.50,122313.00,1395004.00,2731254.00,811540.08,71150.71,544659.00,4992970.00,4566304.00,-564112.00,-80484.30,82195.28,605281.00,1118219.54,725928.00,393097.38,1613397.00,421213.00,136754.00,28118.00,0.00000,0.00000,0.00000,0.00000,0.20170,0.43907,0.35923,388229.30,16346610.17,13615356.17,16756063.00,0.066578,10121196.70,8554154.71,1102566.19,104879.46,276112.35,83483.99,10967267.14,0.202780,0.174640,0.014092,-0.054702,0.036978,0.289432,-0.121067,0.110915,0.346933,0.634709,0.068254,0.057097,0.023008,0.080876,0.035836,0.032782,0.102334,-0.019923,-0.014972,1.021,1.021,0.979431929,1.021,240847,47103,325983.00,170531.00,7.25,127200,0.124,0.1060,0.0180,0.029,6350,9350,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.8959,88662475.86,15074501.96,14890121.03,13621306.70,1268814.33,9697941.45,3507043.19,3266578.10,-10391999.80,-3892952.62,25278905.96,8818864.35,22066458.01,0.52,-4756711.44,1210773.04,42380.59,14612.52,6085.26,6594.92,6594.92,18136725.45,220440.00,504890.37,236425.77,223190.43,272533.45,5387273.74,1450671.84,1034010.15,416661.69,1472073.86,691052.84,591467.64,1813778.54,-360711.99,-271058.99,12749451.71,10955148.43,1178077.52,616225.75,852651.52,7962960.69,2992187.74,734106.33,124658.99,258716.35,49289.33,42962.05,7295.41,15945.87,16688723.18,2135407.02,1446201.20,1945631.95,187973.99,1012433.42,30600.56,59383.20,67344.40,20248.79,103726.12,359488.74,21560.40,46997.71,731871.40,607828.06,63.50,128752.90,1468452.36,2875057.25,854268.48,74896.87,573335.84,4991644.39,4806724.47,-858023.59,-84721.88,86522.95,637149.65,1177094.91,764148.84,413794.35,1613397.00,421213.00,143954.23,21236.92,0.00000,0.00000,0.00000,0.00000,0.00000,0.55001,0.44999,408669.96,17462115.36,14587058.11,17638286.47,0.108353,10654087.82,9004539.51,1160617.40,110401.47,290649.94,87879.50,11544704.72,0.209576,0.167942,0.013656,-0.053650,0.036843,0.285114,-0.117209,0.109380,0.348347,0.634709,0.068254,0.057012,0.022973,0.081165,0.035603,0.032612,0.102505,-0.019888,-0.014945,1,1,1,1,243020,47528,328264.88,171724.72,7.25,128400,0.124,0.1060,0.0180,0.029,6400,9400,12801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0.8959,93890627.00,15975557.14,15768145.27,14424512.90,1343632.37,10269798.98,3701684.08,3459198.08,-11004783.78,-4122507.95,26769524.62,9338885.42,23367648.58,0.52,-5037199.96,1282168.57,44308.90,15277.39,6362.14,6894.99,6894.99,18961946.46,230470.02,527862.88,247183.15,233345.60,284933.72,5632394.70,1516677.41,1081057.61,435619.80,1539053.22,722495.74,618379.42,1896305.46,-377124.38,-283392.18,13329551.76,11453607.69,1231680.05,644264.02,891447.16,8325275.40,3128332.29,767508.17,130330.97,270487.95,51531.99,44916.82,7627.35,16671.41,17448060.08,2232568.03,1512003.35,2034158.20,196526.81,1058499.14,31992.89,62085.14,70408.57,21170.11,108445.66,375845.48,22541.40,49136.10,765171.55,635484.23,64.50,134611.16,1535266.94,3005872.36,893137.69,78304.67,599422.62,5218381.03,5025430.44,-897446.84,-88576.72,90459.74,666139.96,1230652.73,798917.61,432621.99,1686806.56,440378.19,150504.15,21820.02,0.00000,0.00000,0.00000,0.00000,0.00000,0.55001,0.44999,427264.44,18257024.79,15251152.43,18440828.51,0.108137,11138848.82,9414246.06,1213425.49,115424.74,303874.51,91878.02,12069988.79,0.209576,0.167942,0.013656,-0.053650,0.036843,0.285114,-0.117209,0.109380,0.348347,0.634709,0.068254,0.057012,0.022973,0.081165,0.035603,0.032612,0.102505,-0.019888,-0.014945,0.980392157,0.980392157,1.02,0.980392157,245213,47957,330562.74,172926.79,7.25,129611.3208,0.124,0.1060,0.0180,0.029,6451,9451,12902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.8959,98904848.29,16836078.01,16610241.78,15194852.83,1415388.95,10818256.75,3892024.68,3643936.27,-11592493.37,-4342670.16,28199148.90,9837627.84,24615595.95,0.52,-5306211.21,1350642.68,46144.18,15910.18,6625.66,7180.58,7180.58,19747350.28,240016.09,549726.96,257421.47,243010.77,296735.68,5865688.48,1579498.19,1125835.02,453663.17,1602800.81,752421.52,643992.70,1974850.43,-392744.87,-295130.28,13881661.79,11928016.12,1282696.24,670949.44,928370.91,8670108.31,3257907.81,799298.36,135729.28,281691.56,53666.45,46777.27,7943.27,17361.94,18170758.73,2325041.00,1574630.53,2118413.04,204666.95,1102342.17,33318.04,64656.70,73324.89,22046.98,112937.48,391412.99,23475.06,51171.32,796864.95,661805.99,65.50,140186.75,1598857.69,3130375.59,930131.45,81548.05,624250.71,5434673.24,5233583.76,-934472.22,-92245.57,94206.58,693731.48,1281626.37,832008.77,450541.19,1756674.09,458618.66,156738.03,22870.68,0.00000,0.00000,0.00000,0.00000,0.00000,0.55001,0.44999,444961.74,19013083.89,15882708.30,19204647.62,0.105943,11600219.94,9804184.13,1263685.57,120205.63,316460.99,95683.61,12569927.72,0.209576,0.167942,0.013656,-0.053650,0.036843,0.285114,-0.117209,0.109380,0.348347,0.634709,0.068254,0.057012,0.022973,0.081165,0.035603,0.032612,0.102505,-0.019888,-0.014945,0.960227382,0.960227382,1.04142,0.960227382,247426,48390,332876.67,174137.28,7.25,130834.0691,0.124,0.1060,0.0180,0.029,6502,9502,13005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
